"N°","Institucion","Departamento","Provincia","Distrito","Representante","Sector"
"1103","ONG Fondo de Apoyo al Desarrollo Regional de Piura","Piura","Piura","Castilla","Acha Yarquele,  Carlos Alberto","Energia y Minas/"
"1104","ONG Gestión Ambiental de Integración Social para el Desarrollo Sostenible","Junín","Huancayo","El Tambo","Bueno Echevarria,  Bertha Beatriz","Mujer y Poblaciones Vulnerables/Ambiente/Trabajo y Promoción del Empleo/"
"1105","ONG Hallpa Waylla","Lima","Lima","Santiago De Surco","Sanchez Moreno Ibañez,  Miguel Javier","Mujer y Poblaciones Vulnerables/Ambiente/Vivienda, Construcción y Saneamiento/"
"1106","ONG Hampaq Perú","Junín","Satipo","Satipo","Quiroga Aquino,  Yolanda Cecilia","Mujer y Poblaciones Vulnerables/ Producción/"
"1107","ONG Huascaran Progreso","Ancash","Huaraz","Independencia","Ruiz Mezarina,  Martin Gregorio","Agricultura Y Riego/Ambiente/"
"1108","ONG Intiwata Perú","Lambayeque","Chiclayo","Jose Leonardo Ortiz","Lorren Quiroz,  Jose Aurelio"," Mujer Y Poblaciones Vulnerables/Ambiente/Educacion/"
"1109","ONG Jóvenes en Riesgo Hacia un Futuro Diferente","Lima","Lima","Villa Maria Del Triunfo","Gomez Carapa,  Alicia","Mujer y Poblaciones Vulnerables/Educacion/Trabajo Y Promoción Del Empleo/"
"1110","ONG Leonardo Manuel","Junín","Huancayo","El Tambo","Sanchez Palomino,  Jorge Enrique","Mujer y Desarrollo Social/"
"1111","ONG Lily Bergerot Reategui - Libere","Lima","Lima","San Miguel","Bergerot Reategui,  Lily Gladys","Mujer y Desarrollo Social/"
"1112","ONG Loreto Pulmón del Mundo","Loreto","Maynas","Iquitos","Paima Campos,  Eneas","Agricultura/"
"1113","ONG Manos Fuertes","Lima","Lima","Miraflores","Vicente Medina,  Pilar Maritza","Educacion/Mujer Y Desarrollo Social/Salud/"
"","","","","","Colon,  Julio Luis",""
"1114","ONG Medicina, Ciencia y Tecnología","Loreto","Maynas","Iquitos","Inchaustegui Gonzales,  Roberto","Salud/"
"1115","ONG Mi Esperanza","Lima","Lima","San Martin De Porres","Ortiz Zavala,  Gerardo Vides","Agricultura/Mujer Y Desarrollo Social/"
"1116","ONG Mundo Unido","Cajamarca","Cajamarca","Cajamarca","Benavides Saldaña,  Samuel Ernesto","Agricultura Y Riego/Ambiente/"
"1117","ONG Pamparomas Creciendo Juntos","Ancash","Huaylas","Pamparomas","Villon Caballero,  Rosa Elvira"," Mujer Y Poblaciones Vulnerables/Agricultura Y Riego/Educacion/"
"1118","ONG Preenvida","Junín","Huancayo","El Tambo","Herquinigo Cardenas,  Laura Rocio","Educacion/Mujer Y Desarrollo Social/Salud/"
"1119","ONG Renovador Impulso","Lima","Lima","San Juan De Lurigancho","Galvez Yangali,  Ludgarda Lucinda","Mujer Y Desarrollo Social/"
"1120","Ong Salvamento Auxilio Rescate Peru 127","Lima","Lima","San Juan De Lurigancho","Perez Sebastian,  Wilson Javier","Mujer y Desarrollo Social/Presidencia del Consejo de Ministros/"
"1121","ONG San Benito de Palermo","Lima","Callao","La Perla","Aguilar Diaz,  Isabel Rosario","Agricultura/Educacion/Mujer Y Desarrollo Social/Salud/"
"1122","ONG Sociedad Peruana de Protección Ambiental y Defensa del Agua","Junín","Huancayo","Huancayo","Quispe Carrion,  Lucio","Agricultura/"
"1123","ONG Somos más que Vencedores en Cristo Jesús ","Lima","Lima","La Molina","Olivas Ovalle,  Jhonny","Educacion/Salud/Vivienda Y Construccion/"
"1124","ONG Sumaq Yachay","Junín","Concepcion","Concepcion","Mendoza Galindo,  Wilfredo","Agricultura/Industria/Mujer Y Desarrollo Social/"
"1125","ONG Uno para Todos y Todos Para Uno","Lima","Lima","San Juan De Miraflores","Garcia Calderon,  José Alberto","Agricultura/Educacion/Industria/Justicia/ Mujer Y Desarrollo Social/"
"1126","ONG Vida Verde y Derechos Humanos para las Regiones Unidas del Perú y el Mundo","Ayacucho","Huamanga","Ayacucho","Fernandez Mejia,  Rosa","Educacion/Justicia/Mujer Y Desarrollo Social/Salud/PCM/"
"1127","ONG Asociación Intercultural de Cooperación y Desarrollo de las Comunidades Campesinas e Indígenas de la Selva Central","Junín","Satipo","Pangoa","Aguilar Arias,  Mario Hugo","Agricultura/Justicia/Produccion/"
"1128","ONG. Cedefa - Cochabamba","Cajamarca","Chota","Cochabamba","Correa Mera,  Jose Atilano","Agricultura/Industria/ Producción/Salud/ Trabajo y Promoción del Empleo/"
"1129","ONG Desarrollo Integral y Armónico en Cristo","Junín","Huancayo","Huancayo","Ramos Vargas,  Marisol Zoraida","Mujer Y Desarrollo Social/"
"1130","Ong. Liderazgo & Desarrollo Social","Junín","Huancayo","El Tambo","Delgado Coronel,  Hugo Esteban","Vivienda Y Construccion/"
"1131","Ong´D Nuevo Rumbo","Lima","Lima","Santiago De Surco","Huambachano Rubiños,  Jaime Luciano","Economia Y Finanzas/Educacion/Justicia/Salud/"
"1132","ONG-Centro de Investigación Productiva Comunal","Junín","Huancayo","El Tambo","Ore Meza,  Rudy","Mujer Y Desarrollo Social/"
"1133","ONGD - Llamellin","Lima","Huaura","Huaura","Aguero Villanueva,  Javier Eusebio","Agricultura/Educacion/Mujer Y Desarrollo Social/Trabajo Y Promocion Social/"
"1134","ONGD Asociación para la Biodiversidad Sostenible","Pasco","Oxapampa","Oxapampa","Espiritu Urbano,  Alberto Cosme","Agricultura/"
"1135","ONGD Corazones Milagrenses","La Libertad","Trujillo","Trujillo","Ulloa De La Cruz,  Zara Teofila","Educacion/Mujer Y Desarrollo Social/Salud/"
"1136","ONGD Creciendo Juntos San Miguel Arcángel","Junín","Huancayo","El Tambo","Cuadrado Mercado,  Nathaly Jessika"," Mujer Y Poblaciones Vulnerables/Ambiente/Justicia Y Derechos Humanos/"
"1137","Ong'd He3 Helio Energy And Environmental Engineering","Piura","Piura","Piura","Mogollon Saavedra,  Helio","Agricultura/Educacion/Mujer Y Desarrollo Social/Salud/PCM/"
"1138","Ongd Imasumac","Huánuco","Ambo","Ambo","Cuela Chambilla,  Braulio","Ambiente/Justicia Y Derechos Humanos/Presidencia Del Consejo De Ministros/"
"1139","Ong'd Luz y Esperanza","Lima","Lima","Barranco","Botto De Dasso,  Maria Del Pilar","Vivienda Y Construccion/"
"1140","ONGD Por Amor a Tumbes","Tumbes","Tumbes","Tumbes","Cuenca Sulca,  Pio Cesar","Agricultura/Educacion/Industria/Turismo/Justicia/Produccion/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/"
"1141","ONGD Por la Discapacidad en el Perú","Lima","Lima","La Molina","Urtecho Medina,  Miluska Saribell","Educacion/Mujer Y Desarrollo Social/Salud/"
"1142","ONGD Proyecto Solidario por la Infancia Perú","Junín","Huancayo","El Tambo","Espinoza Zevallos,  Yozely Hilda"," Mujer Y Poblaciones Vulnerables/Justicia Y Derechos Humanos/Trabajo Y Promoción Del Empleo/"
"1143","ONGD SOS Pan Perú","Lima","Lima","Pueblo Libre","Loyaga De La Cruz,  Walter Santos","Agricultura/Educacion/Salud/Transportes/ Vivienda Y Construccion/"
"1144","ONGD Tierra Nuestra-Perú","Lima","Lima","San Isidro","Gutierrez Muñoz,  Jorge Alberto"," Mujer Y Poblaciones Vulnerables/Educacion/"
"1145","ONGD Trascender Perú","Lima","Lima","San Isidro","Galvez Llanos,  Jose Antonio"," Mujer Y Poblaciones Vulnerables/Educacion/Salud/"
"1146","ONGD Vidas Dignas - Perú","Lima","Lima","Santiago De Surco","Rodriguez Soto,  Roger Augusto"," Mujer Y Poblaciones Vulnerables/Educacion/"
"1147","ONGs Para el Servicio Asistencial de Salud del Alto Andino del Río Huallaga Departamento de Huánuco Distrito de Pillco Marca","Huánuco","Huanuco","Pillco Marca","Rodriguez Romero,  Esteban"," Mujer Y Poblaciones Vulnerables/Salud/"
"1148","Operación San Andrés-ONG","Lima","Lima","Pueblo Libre","Campos Alcazar,  Luis Alberto","Educacion/Mujer Y Desarrollo Social/Salud/"
"1149","Organismo No Gubernamental ""Kuska Qatarisun""","Ayacucho","Huamanga","Ayacucho","Ticlla Chacchi,  Maximo Cleto","Agricultura/Educación/Energía y Minas/Industria/Producción/Mujer y Desarrollo Social/"
"1150","Organismo No Gubernamental Cambio Y Desarrollo ","Huánuco","Huanuco","Huanuco","Ushiñagua Aguilar,  Naulith","Agricultura/"
"1151","Organismo No Gubernamental Centro De Desarrollo","Huánuco","Huanuco","Huanuco","Quispe Ramirez,  Carlos Manuel Eduardo","Mujer y Desarrollo Social/"
"1152","Organismo No Gubernamental Centro De Promocion Del Desarrollo","Lima","Lima","Magdalena Del Mar","Ramirez Reyes,  Amparo Soledad","Agricultura/Industria/Transportes/PCM/"
"1153","Organismo No Gubernamental Centro Excursionista Tangarana","San Martín","Moyobamba","Moyobamba","Acosta De Franco,  Isabel","Mujer y Poblaciones Vulnerables/Educacion/"
"1154","Organismo No Gubernamental Clinica Albergue Oncopediatrico Shari Wasi","Lima","Lima","Santiago De Surco","Nizana Del Rio De Duran,  Delia Rossana","Mujer y Poblaciones Vulnerables/Salud/"
"1155","Organismo No Gubernamental De Desarrollo - Asociacion Hagamoslo","Lima","Lima","Santiago De Surco","Mariño Del Rosario,  Miguel Angel","Educacion/Vivienda y Construccion/PCM/"
"1156","Organismo No Gubernamental De Desarrollo - Centro De Investigacion Para El Desarrollo Integral Y Sostenible","Huánuco","Huanuco","Amarilis","Aguirre Tucto,  German Scott","Agricultura/Educacion/Mujer y Desarrollo Social/Salud/Pcm/"
"1157","Organismo No Gubernamental De Desarrollo - Ong Provivir","Ucayali","Coronel Portillo","Calleria","Armaza Ortiz,  Juan Emilio","Agricultura/"
"1158","Organismo No Gubernamental De Desarrollo Alpamayo","Ancash","Pomabamba","Pomabamba","Via Olivas,  Manuel","Mujer Y Desarrollo Social/"
"1159","Organismo No Gubernamental De Desarrollo Elite ","Huánuco","Huanuco","Amarilis","Pulgar Lucas,  Enrique Orlando","Agricultura/Educacion/Industria/Turismo/ Mujer Y Desarrollo Social/Trabajo Y Promocion Social/"
"1160","Organismo No Gubernamental De Desarrollo Islas De Paz Peru","Huánuco","Huanuco","Amarilis","Vela Cardenas,  Mosclis Lucely"," Mujer Y Poblaciones Vulnerables/Desarrollo E Inclusión Social/"
"","","","","","Canales Hernandez,  Carmen",""
"1161","Organismo No Gubernamental de Desarrollo Lucero de la Esperanza","Arequipa","Arequipa","Cerro Colorado","Payehuanca Alarcon,  Cornelio Alipio"," Mujer Y Poblaciones Vulnerables/Ambiente/Salud/"
"1162","Organismo No Gubernamental De Desarrollo Mirando el Mañana","Ucayali","Coronel Portillo","Yarinacocha","Vela Ramirez,  Martin","Salud/"
"1163","Organismo No Gubernamental De Desarrollo Siglo Xxi","Arequipa","Arequipa","Paucarpata","Valdivia Zamata,  Diego Ramon"," Mujer Y Poblaciones Vulnerables/Agricultura Y Riego/Ambiente/"
"1164","Organismo No Gubernamental Dios, Naturaleza Y Universo Dinaun","Huánuco","Huanuco","Huanuco","Rodriguez Robles,  Yenny Irma","Agricultura/Educacion/Industria/Mujer Y Desarrollo Social/Salud/Trabajo Y Promocion Social/"
"1165","Organismo No Gubernamental Emaus Jesucristo Señor De Los Milagros","Apurimac","Abancay","Chacoche","Quispe Aguirre,  David","Agricultura/Educacion/Mujer Y Desarrollo Social/"
"1166","Organismo No Gubernamental Iniciativas De Inclusion Y Sostenibilidad De Pueblos Andinos","Junín","Huancayo","El Tambo","Abregu Baldeon,  Victor Raul","Agricultura/Educacion/Industria/Mujer Y Desarrollo Social/Salud/Otros/"
"1167","Organismo No Gubernamental Instituto De Desarrollo Rural Sostenido (ONG Inderso)","San Martín","San Martin","Tarapoto","Sifuentes Amaringo,  Nancy Enith","Agricultura/Educacion/Produccion/ Transportes/Vivienda Y Construccion/"
"1168","Organismo No Gubernamental Instituto Para El Desarrollo Humano Ecologico Rural ","Huánuco","Huanuco","Huanuco","Thencera Pastor,  Miguel","Agricultura/Educacion/Transportes/"
"1169","Organismo No Gubernamental Instituto para el Desarrollo Urbano y Rural ","Ayacucho","Huamanga","Ayacucho","Cardenas Lopez,  Teresa Angelica","Agricultura/Educacion/Salud/Otros/"
"1170","Organismo No Gubernamental Kunan","Junín","Huancayo","Huancayo","Gamarra Santivañez,  Pompeyo Edgardo","Agricultura/Educacion/Industria/PCM/"
"1171","Organismo No Gubernamental para el Desarrollo de Discapacitados de Apurimac","Junín","Huancayo","Huancayo","Reynaga Soto,  Didimo David","Mujer y Desarrollo Social/"
"1172","Organismo No Gubernamental Para El Desarrollo En La Extrema Pobreza Nacional Los Chankas Perú","Apurimac","Andahuaylas","Andahuaylas","Flores Ortiz,  Carlos Vladimir","Educacion/Turismo/Produccion/Mujer y Desarrollo Social/"
"1173","Organismo No Gubernamental propuesta para el Desarrollo Regional","Cajamarca","Chota","Chota","Idrogo Tantajulca,  Juan Wilder","Educacion/Mujer y Desarrollo Social/PCM/Otros/"
"1174","Organismo No Gubernamental Proteccion Ecologica para la Vida","Cusco","Cusco","Wanchaq","Villena Vergara,  Edssen Dario","Ambiente/"
"1175","Organismo No Gubernamental Proyecto Integral Para El Desarrollo","Cajamarca","Hualgayoc","Bambamarca","Campos Requelme,  Segundo Hector","Agricultura/Industria/Salud/"
"1176","Organismo No Gubernamental Proyectos De Desarrollo Social Emprendedor Peru","Ayacucho","Huamanga","Ayacucho","Huaman Cordova,  Sixto Raul","Agricultura/Educación/Energía y Minas/Comercio/Producción/Transportes/Vivienda y Construcción/"
"1177","Organismo No Gubernamental Proyectos Para El Ande y La Selva Del Peru ","Ayacucho","Huamanga","Ayacucho","Serna Campos,  Zenon Adolfo","Agricultura/Comercio/"
"1178","Organismo No Gubernamental Proyectos para la Acción, la Naturaleza y Servicios del Perú","Ayacucho","Huamanga","Ayacucho","Serna Campos,  Zenon Adolfo","Educacion/Mujer y Desarrollo Social/"
"1179","Organismo No Gubernamental Recapacitar","Junín","Huancayo","El Tambo","Palomino Aguirre,  Erick Francisco","Educacion/Mujer y Desarrollo Social/PCM/"
"1180","Organismo No Gubernamental Unidad Para El Desarrollo","Huánuco","Huanuco","Huanuco","Rosado Cespedes,  Antonio","Educacion/"
"1181","Organismo No Gubernamental Valor Y Fe","Junín","Huancayo","El Tambo","Berrios Daviran,  Maria Eugenia","Mujer y Poblaciones Vulnerables/Trabajo y Promoción del Empleo/"
"1182","Organismo No Gubernamental Vidas Unidas Para El Desarrollo Y Bienestar","Huánuco","Huanuco","Amarilis","Caycho Hidalgo,  Edison Frank","Mujer y Poblaciones Vulnerables/Agricultura y Riego/Desarrollo e Inclusión Social/"
"1183","Organismo Para El Desarrollo Integral Sostenible","Junín","Huancayo","El Tambo","Castillo Cano,  Amado Edilio","Agricultura/Educacion/Salud/Trabajo Y Promocion Social/Otros/"
"1184","Organizacion Alcanzando La Mano - Alma","Apurimac","Abancay","Curahuasi","Maxwell,  Lyndall Leanne","Mujer Y Poblaciones Vulnerables/Desarrollo e Inclusión Social/"
"1185","Organizacion De Desarrollo De Comunidades Nativas De Iparia","Ucayali","Coronel Portillo","Manatay","Vargas Rios,  Alejandro","Agricultura/Educacion/Mujer Y Desarrollo Social/Salud/"
"1186","Organizacion De Los Exalumnos De La Promocion 1965 Del Colegio Nacional Coronel Bolognesi De Chiquian - Ancash","Lima","Lima","San Martin De Porres","Aguirre Rivera,  Fortunato","Agricultura/Energia y Minas/Turismo/Producción/Mujer y Desarrollo Social/"
"1187","Organizacion De Personas Con Discapacidad Y Adulto Mayor Salud Educacion Laboral","Lima","Lima","San Juan De Lurigancho","Lozano Melendez,  Pedro","Mujer y Desarrollo Social/"
"1188","Organizacion Internacional De Desarrollo","Lima","Lima","Lima","Salazar Olivares,  Jacinto Vicente","Mujer y Desarrollo Social/Salud/"
"1189","Organizacion Internacional Educando Y Construyendo ","Ancash","Santa","Nuevo Chimbote","Blanco Vasquez,  Carlos Alberto","Comercio/"
"1190","Organizacion Nacional E Internacional Para El Desarrollo Empresarial Social","Ica","Ica","Ica","Cesar Augusto,  Elias Chang","Agricultura/Otros/"
"1191","Organizacion Nacional Integracion Para El Desarrollo","Lima","Lima","San Isidro","Trujillo Salazar,  Julian","Educacion/Mujer Y Desarrollo Social/Salud/Pcm/"
"1192","Organizacion No Gubernamental - Ong Esperanza Y Apoyo Para El Desarrollo Del Peru - Esadep","Lima","Lima","Miraflores","Tucta Miranda,  Rosario","Agricultura/Mujer y Desarrollo Social/Salud/PCM/"
"1193","Organizacion No Gubernamental - Ong Sisariy","Ayacucho","Huamanga","Ayacucho","Poma Mayhua,  Ana Maria","Mujer y Desarrollo Social/"
"1194","Organizacion No Gubernamental ""Accion Social De Ayuda A Los Excluidos"" - O.N.G. ""Asa""","Junín","Huancayo","El Tambo","Quispe Rodriguez,  Juan","Agricultura/"
"1195","Organizacion No Gubernamental Agencia Regional de Cooperacion Y Desarrollo","Junín","Huancayo","El Tambo","Solis Salazar,  Lourdes Edith","Mujer Y Desarrollo Social/"
"1196","Organizacion No Gubernamental Agualimpia","Lima","Lima","San Isidro","Youle,  John Jacob","Salud/Pcm/"
"","","","","","Castro Garcia,  Maria Mercedes Josefina Margarita",""
"1197","Organizacion No Gubernamental Aire, Bosques Y Agua","Lima","Lima","La Molina","Miyakawa Solis,  Victor Eduardo","Ambiente/"
"1198","Organizacion No Gubernamental Angeles de la Guarda","Piura","Piura","Piura","Ubillus Silva,  Baltazara","Educacion/Mujer Y Desarrollo Social/Salud/"
"1199","Organizacion No Gubernamental Asociacion de Cooperación Integral y Solidaridad en Selva","Junín","Satipo","Mazamari","Mercado Soto,  Wilder Delfin","Educacion/PCM/"
"1200","Organizacion No Gubernamental Asociacion Peruana para Desarrollo Sostenible y Apoyo Rural","Pasco","Oxapampa","Oxapampa","Blasido Borja,  Edgar Alfonso","Agricultura/Produccion/Mujer Y Desarrollo Social/"
"1201","Organizacion No Gubernamental Conservadores de la Naturaleza","Ucayali","Coronel Portillo","Calleria","Vasquez Panduro,  Raul","Agricultura/Ambiente/"
"1202","Organizacion No Gubernamental Creciendo Todos","Junín","Huancayo","El Tambo","Valerio Aviles,  Clotilde","Agricultura/Mujer Y Desarrollo Social/Otros/ Producción/"
"1203","Organizacion No Gubernamental de Desarrollo ""Desarrollo Integral Humano con Deporte Madre De Dios""","Madre De Dios","Tambopata","Tambopata","Valdivia Esteves,  Oscar"," Cultura/ Mujer Y Poblaciones Vulnerables/"
"1204","Organizacion No Gubernamental De Desarrollo ""World Humanitarian Relief To Latin America""","Lima","Lima","Lima","Sanchez Luis,  Orestes Pompeyo","Mujer y Desarrollo Social/"
"1205","Organizacion No Gubernamental De Desarrollo Accion Ambiental Pablito Noriega","Tumbes","Tumbes","Tumbes","Venegas Lobaton,  Rodolfo Ruben","Agricultura Y Riego/Ambiente/Desarrollo E Inclusión Social/Vivienda, Construcción Y Saneamiento/"
"1206","Organizacion No Gubernamental de Desarrollo Asociacion De Niños Y Jovenes Puririg Puntaman Niños Del Futuro De La Region Central","Junín","Huancayo","Chilca","Perez Suasnabar,  Jacqueline Ingrid","Educacion/Mujer y Desarrollo Social/Salud/"
"1207","Organizacion No Gubernamental De Desarrollo Asociacion De Promotores Para El Desarrollo -Ong Aprodes","Huánuco","Leoncio Prado","Rupa-Rupa","Mozombite Carrion,  Alfonso","Agricultura/Educacion/Salud/Vivienda Y Construccion/Pcm/"
"1208","Organizacion No Gubernamental De Desarrollo Centro De Ayuda Social Humanitaria","Tumbes","Tumbes","Tumbes","Valdiviezo Vega,  Juana Elsa","Mujer Y Desarrollo Social/"
"1209","Organizacion No Gubernamental De Desarrollo De Cirugia Plastica Qorito","Lima","Lima","Santiago De Surco","Bardales Lasteros,  Benito Alberto","Educacion/Salud/"
"1210","Organizacion No Gubernamental De Desarrollo Inca Peru","Junín","Huancayo","El Tambo","Aliaga Carrasco,  Jesus Manuel"," Mujer Y Poblaciones Vulnerables/Agricultura Y Riego/Ambiente/"
"1211","Organizacion No Gubernamental De Desarrollo Integrando Los Pueblos Andino - Amazonicos","Huánuco","Leoncio Prado","Rupa-Rupa","Arista Estacio,  Moises","Agricultura/Educacion/Salud/Transportes/Pcm/"
"1212","Organizacion No Gubernamental De Desarrollo Jehova Es Mi Proveedor, Mi Fortaleza Y Nada Me Faltara","Tumbes","Tumbes","Tumbes","Barranzuela Zapata,  Jose"," Mujer Y Poblaciones Vulnerables/Educacion/"
"1213","Organizacion No Gubernamental De Desarrollo Kulli","La Libertad","Trujillo","Florencia De Mora","Gonzalez Sandoval,  Francisco Homero","Cultura/ Mujer y Poblaciones Vulnerables/Educación/Salud/"
"1214","Organizacion No Gubernamental De Desarrollo Maxvida","Piura","Piura","Piura","Vasquez Godos,  Maximo Augusto","Educacion/"
"1215","Organizacion No Gubernamental De Desarrollo Munay Rurai","Huánuco","Huanuco","Amarilis","Venancio Jorge,  Nancy Hildina","Agricultura/Educacion/Industria/Producción/Mujer Y Desarrollo Social/Salud/"
"1216","Organizacion No Gubernamental De Desarrollo Olimpo","Ancash","Santa","Chimbote","Ames Angeles,  Cesar Augusto","Agricultura/Educacion/Salud/"
"1217","Organizacion No Gubernamental De Desarrollo Qespina","Cusco","Cusco","Cusco","Escudero Lopez,  Lizbeth","Educacion/Mujer Y Desarrollo Social/"
"1218","Organizacion No Gubernamental De Desarrollo Una Luz En El Camino Ongdulc","Huánuco","Huanuco","Huanuco","Naupay Gonzalez,  Yenny Miriam"," Mujer Y Poblaciones Vulnerables/Ambiente/Educacion/"
"1219","Organizacion No Gubernamental Ecologia Productiva Para El Rejuvenecimiento De La Amazonia","Ucayali","Coronel Portillo","Calleria","Flores Rosas,  Fernando","Agricultura Y Riego/Ambiente/Educacion/"
"1220","Organizacion No Gubernamental Federacion De Comunidades Laborales, Asociaciones Y Mypes Del Sur Del Peru","Arequipa","Arequipa","Arequipa","Alvarez Torres,  Humberto Indalecio","Industria/"
"1221","Organizacion No Gubernamental Grow Green","Junín","Huancayo","Huancayo","Guerrero Pascual,  Jhon Kenner"," Mujer Y Poblaciones Vulnerables/Salud/Vivienda, Construcción Y Saneamiento/"
"1222","Organizacion No Gubernamental Instituto De Desarrollo Agroecologico Sostenible","Huánuco","Huanuco","Huanuco","Niño Vigilio,  Osmider","Agricultura/"
"1223","Organizacion No Gubernamental Instituto Mundial De Sanacion Ayahuasca","Ucayali","Coronel Portillo","Yarinacocha","Tutucima Rios,  Delfin"," Mujer Y Poblaciones Vulnerables/Educacion/"
"1224","Organizacion No Gubernamental Inter Export Bank Cuyani","Junín","Chanchamayo","Pichanaqui","Pomallanqui Laura,  Hugo Francisco","Agricultura/"
"1225","Organizacion No Gubernamental Mantenimiento Al Desarrollo Sostenido","Lima","Lima","Pueblo Libre","Abad Idoña,  Juan Manuel","Agricultura/Produccion/Trabajo Y Promocion Social/"
"1226","Organizacion No Gubernamental Oxigeno Para El Mundo","Ucayali","Coronel Portillo","Calleria","Trapiello Valdez,  John Luciano","Agricultura/"
"1227","Organizacion No Gubernamental Para El Desarrollo Equitativo Y Sostenido Para America Latina O.N.G D-E-S-A","Lima","Lima","San Juan De Miraflores","Carhuas Tineo,  Raul Jose"," Mujer Y Poblaciones Vulnerables/Educacion/"
"1228","Organizacion No Gubernamental Para La Proteccion Del Niño Y El Medio Ambiente De La Region Ucayali","Ucayali","Coronel Portillo","Calleria","Araujo Pasquel,  Miguel Angel","Agricultura Y Riego/Educacion/"
"1229","Organizacion No Gubernamental Rios Profundos","Apurimac","Andahuaylas","Andahuaylas","Gavancho Pastor,  Cesar"," Mujer y Poblaciones Vulnerables/Ambiente/"
"1230","Organizacion No Gubernamental Vida Salud Progreso Integracion - O.N.G. Proinvisa","Junín","Huancayo","Huancayo","Rodriguez Lizarraga,  Manuel Octavio","Agricultura/Educacion/Energia y Minas/Industria/Justicia/Produccion/Mujer Y Desarrollo Social/Salud/Trabajo y Promocion Social/Transportes/Vivienda Y Construccion/"
"1231","Organizacion No Gubernamental Voz Y Accion Ciudadana","Loreto","Maynas","San Juan Bautista","Perez Amasifuen,  Victor Raul"," Mujer Y Poblaciones Vulnerables/Presidencia Del Consejo De Ministros/"
"1232","Organizacion para el Desarrollo Ambiental y Tecnológico","Junín","Huancayo","El Tambo","Huere Marcelo,  Lucy Wendy"," Mujer Y Poblaciones Vulnerables/Ambiente/Comercio Exterior Y Turismo/Educacion/"
"1233","Organizacion Para La Ecologia Y La Vida ","Lambayeque","Chiclayo","Chiclayo","Vilchez Bazan,  Gerardo Rosario","Agricultura/Industria/Turismo/"
"1234","Organizacion Para La Prevencion Y Rehabilitacion De La Salud-Vision Sin Fronteras","Lima","Lima","Santiago De Surco","Espinoza Carrillo,  Nelly Rosario"," Mujer Y Poblaciones Vulnerables/"
"1235","Organizacion Social Atara","Lima","Lima","Lince","Hilario Ferrer,  Jesus Raul"," Mujer Y Poblaciones Vulnerables/"
"1236","Organsimo De Derecho Y Antropologia Forense Del Peru","Junín","Huancayo","Huancayo","Rojas Rojas,  Yudan","Justicia/Salud/Pcm/Otros/"
"1237","Otra Cosa Perú","La Libertad","Trujillo","Huanchaco","Solis Garcia,  Juana Melchora","Agricultura/Educacion/Mujer y Desarrollo Social/Salud/"
"1238","Partnerships And Technology For Sustainability","Lima","Lima","Santiago De Surco","Romani Alvarado,  William Antonio","Agricultura/Trabajo Y Promocion Social/"
"1239","Parwa Instituto De Investigacion Y Desarrollo Andino","Ayacucho","Huamanga","Ayacucho","Arones Ochoa,  Laura","Educacion/Comercio/Mujer Y Desarrollo Social/"
"1240","Pasa La Voz","Cusco","Cusco","Cusco","Chaparro Acurio,  Pavel","Educacion/Mujer Y Desarrollo Social/"
"1241","Pastoral Social Caritas Requena","Loreto","Requena","Requena","Lopez Vergara,  Enith Maria","Salud/"
"1242","Patronato De Cultura Machupicchu","Cusco","Cusco","Wanchaq","Palacios De Mogrovejo,  Avelina Cristina","Turismo/Otros/"
"1243","Patronato De La Cultura Altiplanica","Lima","Lima","Santiago De Surco","Jimenez Sardon,  David Anibal","Agricultura/Educacion/"
"1244","Patronato Trujillo ¡Ahora!","La Libertad","Trujillo","Trujillo","Garcia Guerrero,  Marcela Alicia","Justicia/Otros/"
"1245","Perú al Desarrollo Siglo XXI","Pasco","Pasco","Yanacancha","Travezano Melgarejo,  Gloria Luz","Agricultura/Energia Y Minas/Turismo/Produccion/Transportes/ Vivienda Y Construccion/"
"1246","Peru Charity Foundation Inc.","Lima","Lima","Los Olivos","Hernandez Sotelo,  Ingrid","Comercio/Mujer y Desarrollo Social/Salud/Trabajo y Promoción Social/"
"1247","Peru Childrens Charity","Lima","Lima","Magdalena Del Mar","Murphy,  Robert Michael","Educacion/Mujer Y Desarrollo Social/Salud/"
"1248","Peru En Accion","Cajamarca","Chota","Chota","Moreno Eusebio,  Federico Orlando","Agricultura/Educacion/"
"","","","","","Huaylla Soto,  Jacob Samuel",""
"1249","Peru Mission - Christian Missionary Society","La Libertad","Trujillo","Victor Larco Herrera","Avellaneda Fernandez,  Jaime Ricardo","Educacion/"
"1250","Peru Tierra Nueva","Junín","Huancayo","El Tambo","Zevallos Luna,  Elmer Edilberto","Agricultura/"
"1251","Peru Unido con Amor","Ayacucho","Huamanga","Ayacucho","Palomino Espinal,  Robes Palhua","Agricultura/Produccion/Mujer y Desarrollo Social/"
"1252","Plan Macroregional de Desarrollo Sostenible","Lambayeque","Chiclayo","Chiclayo","Humberto Valdivia Chacon,  Pablo Adolfo","Agricultura/Comercio/"
"1253","Pro Naturaleza - Fundación Peruana para La Conservación de La Naturaleza","Lima","Lima","Santiago De Surco","De La Cadena Goering,  Michael Angel","Agricultura/Salud/Pcm/"
