"N°","Institucion","Departamento","Provincia","Distrito","Representante","Sector"
"90","Asociación Civil Centro de Desarrollo Andino Sisay","Ayacucho","Huamanga","Ayacucho","Carrera Ore,  Marcelino","Agricultura/Mujer y Desarrollo Social/"
"91","Asociación Civil Centro De Estudios Solidarios Amazónicos","Cajamarca","Jaen","Jaen","Barboza Salazar,  Israel","Mujer y Desarrollo Social/"
"92","Asociación Civil Centro de Investigación de Desarrollo Local - CIDEL","Huánuco","Huanuco","Huanuco","Muñoz Jaime,  Percy Harold","Agricultura/Mujer y Desarrollo Social/Salud/Trabajo y Promoción Social/Comunicaciones/PCM/"
"93","Asociación Civil Centro de Promoción para la Inversión en el Desarrollo - CPINDE ","San Martín","San Martin","Tarapoto","Delgado Montilla,  Neil"," Producción/Ambiente/"
"94","Asociación Civil Cooperación Andina","Moquegua","Mariscal Nieto","Moquegua","Peñaloza Quispe,  Rosendo","Educación/"
"95","Asociación Civil Cordillera Blanca","Ancash","Huaraz","Huaraz","Sal y Rosas Julca,  Mariano Andres","Mujer y Poblaciones Vulnerables/Agricultura y Riego/Trabajo y Promoción del Empleo/"
"96","Asociación Civil de Defensa de los Derechos Humanos de los Pueblos Americanos ""ADDHA""","Lima","Lima","Lima","Escajadillo Quispe,  Wilson Dictinio","Mujer y Poblaciones Vulnerables/"
"97","Asociación Civil de Desarrollo los Caritativos","La Libertad","Chepen","Chepen","Medina Padilla,  Saul","Mujer Y Poblaciones Vulnerables/Desarrollo e Inclusión Social/Educacion/"
"98","Asociación Civil de Personas con Discapacidad Corazones Unidos con Esperanza del Bajo Piura","Piura","Sechura","Vice","Lopez Amaya,  Maria Rosa","Educación/"
"","","","","","Rivas Agurto,  Walter Eduwin",""
"99","Asociación Civil Divino Niño Jesús","Lima","Lima","San Borja","Gupio Alvarado De Asmat,  Maria Julia","Educación/Mujer y Desarrollo Social/Salud/Trabajo y Promoción Social/Otros/"
"100","Asociación Civil Ecosistema & Desarrollo Sostenible","Lima","Lima","La Molina","Fuentes Llanos,  Rodolfo Anibal","Agricultura/Industria/Salud/Trabajo Y Promocion Social/"
